DATE,VALUE
2017-01-23,0.51
2017-01-20,0.49
2017-01-19,0.51
2017-01-18,0.52
2017-01-17,0.54
2017-01-13,0.52
2017-01-12,0.51
2017-01-11,0.51
2017-01-10,0.51
2017-01-09,0.5
2017-01-06,0.52
2017-01-05,0.51
2017-01-04,0.52
2017-01-03,0.53
2016-12-30,0.5
2016-12-29,0.46
2016-12-28,0.52
2016-12-27,0.51
2016-12-23,0.51
2016-12-22,0.5
2016-12-21,0.51
2016-12-20,0.52
2016-12-19,0.52
2016-12-16,0.5
2016-12-15,0.5
2016-12-14,0.54
2016-12-13,0.54
2016-12-12,0.51
2016-12-09,0.53
2016-12-08,0.5
2016-12-07,0.51
2016-12-06,0.49
2016-12-05,0.49
2016-12-02,0.48
2016-12-01,0.47
2016-11-30,0.48
2016-11-29,0.48
2016-11-28,0.48
2016-11-25,0.48
2016-11-23,0.5
2016-11-22,0.48
2016-11-21,0.46
2016-11-18,0.43
2016-11-17,0.43
2016-11-16,0.46
2016-11-15,0.5
2016-11-14,0.54
2016-11-10,0.47
2016-11-09,0.44
2016-11-08,0.43
2016-11-07,0.41
2016-11-04,0.37
2016-11-03,0.37
2016-11-02,0.36
2016-11-01,0.35
2016-10-31,0.34
2016-10-28,0.29
2016-10-27,0.29
2016-10-26,0.33
2016-10-25,0.34
2016-10-24,0.33
2016-10-21,0.33
2016-10-20,0.34
2016-10-19,0.34
2016-10-18,0.34
2016-10-17,0.34
2016-10-14,0.31
2016-10-13,0.29
2016-10-12,0.36
2016-10-11,0.35
2016-10-07,0.32
2016-10-06,0.32
2016-10-05,0.32
2016-10-04,0.33
2016-10-03,0.32
2016-09-30,0.28
2016-09-29,0.26
2016-09-28,0.27
2016-09-27,0.26
2016-09-26,0.25
2016-09-23,0.18
2016-09-22,0.18
2016-09-21,0.22
2016-09-20,0.3
2016-09-19,0.3
2016-09-16,0.29
2016-09-15,0.29
2016-09-14,0.33
2016-09-13,0.36
2016-09-12,0.37
2016-09-09,0.34
2016-09-08,0.34
2016-09-07,0.34
2016-09-06,0.32
2016-09-02,0.32
2016-09-01,0.33
2016-08-31,0.33
2016-08-30,0.33
2016-08-29,0.33
2016-08-26,0.33
2016-08-25,0.33
2016-08-24,0.31
